"Timestamp","Function","Services","Status","RAMFreed_MB","RebootRequired"
"2025-12-31 23:34:09","hibernar-antivirus [-Exclusiones]","","Completado","-98,02","False"
"2025-12-31 23:43:05","hibernar-antivirus [-Exclusiones]","","Completado","-142,47","False"
"2025-12-31 23:45:54","hibernar-light","DiagTrack, dmwappushservice, WerSvc, DusmSvc, gupdate, gupdatem","Completado","-41,21","False"
"2025-12-31 23:46:10","hibernar-terceros [STANDARD]","LenovoVantageService, AdobeARMservice","Completado","1","False"
"2025-12-31 23:56:34","hibernar-antivirus [-Exclusiones]","","Completado","-150,51","False"
"2026-01-01 00:01:14","hibernar-antivirus [-Exclusiones]","","Completado","-36,42","False"
"2026-01-01 00:01:14","hibernar-antivirus [-Bitdefender]","bdvpnService","Completado","-17,21","False"
"2026-01-01 00:02:14","hibernar-antivirus [-Exclusiones]","","Completado","-12,91","False"
"2026-01-01 00:02:14","hibernar-antivirus [-Bitdefender]","bdvpnService","Completado","-24,87","False"
"2026-01-01 00:06:26","hibernar-antivirus [-Exclusiones]","","Completado","-13,77","False"
"2026-01-01 00:06:26","hibernar-antivirus [-Bitdefender]","bdvpnService","Completado","-26,81","False"
"2026-01-01 00:08:07","hibernar-antivirus [-Exclusiones]","","Completado","-28,03","False"
"2026-01-01 00:08:07","hibernar-antivirus [-Bitdefender]","bdvpnService","Completado","-35,31","False"
"2026-01-01 00:10:07","hibernar-antivirus [-Bitdefender]","bdvpnService","Completado","-120,28","False"
"2026-01-01 00:20:23","hibernar-antivirus [-Exclusiones]","","Completado","-128,14","False"
"2026-01-01 00:20:23","hibernar-antivirus [-Bitdefender]","bdvpnService","Completado","-139,33","False"
"2026-01-01 00:21:08","reverter-hibernacion [All]","bdvpnService, DefenderExclusions","Revertido","N/A","False"
"2026-01-01 00:22:08","hibernar-antivirus [-Exclusiones]","","Completado","-115,09","False"
"2026-01-01 00:22:08","hibernar-antivirus [-Bitdefender]","bdvpnService","Completado","-122,94","False"
"2026-01-01 00:30:04","hibernar-antivirus [-Exclusiones]","","Completado","-109,78","False"
"2026-01-01 00:30:04","hibernar-antivirus [-Bitdefender]","bdvpnService","Completado","-141,15","False"
"2026-01-01 00:32:49","hibernar-antivirus [-Exclusiones]","","Completado","-25,02","False"
"2026-01-01 00:32:49","hibernar-antivirus [-Bitdefender]","bdvpnService","Completado","-47,23","False"
"2026-01-01 00:45:24","hibernar-light","DiagTrack, dmwappushservice, WerSvc, DusmSvc, gupdate, gupdatem","Completado","0,36","False"
"2026-01-01 00:48:52","hibernar-light","DiagTrack, dmwappushservice, WerSvc, DusmSvc, gupdate, gupdatem","Completado","1,68","False"
"2026-01-01 00:48:54","hibernar-terceros [STANDARD]","LenovoVantageService, AdobeARMservice","Completado","-8,16","False"
"2026-01-01 00:49:05","hibernar-antivirus [-Exclusiones]","","Completado","-121,57","False"
"2026-01-01 00:49:05","hibernar-antivirus [-Bitdefender]","bdvpnService","Completado","-134,51","False"
"2026-01-01 00:55:45","hibernar-antivirus [-Exclusiones]","","Completado","-111,47","False"
"2026-01-01 00:55:45","hibernar-antivirus [-Bitdefender]","bdvpnService","Completado","-134,41","False"
"2026-01-01 00:56:21","hibernar-antivirus [-Exclusiones]","","Completado","-122,02","False"
"2026-01-01 00:56:21","hibernar-antivirus [-Bitdefender]","bdvpnService","Completado","-133,43","False"
"2026-01-01 01:09:24","hibernar-antivirus [-Exclusiones]","","Completado","-149,66","False"
"2026-01-01 01:26:54","hibernar-light","DiagTrack, dmwappushservice, WerSvc, DusmSvc, gupdate, gupdatem, bdvpnService","Completado","0,64","False"
"2026-01-01 01:27:04","hibernar-terceros [STANDARD]","LenovoVantageService, AdobeARMservice","Completado","0,48","False"
"2026-01-01 10:11:55","hiber-Light","DiagTrack, dmwappushservice, WerSvc, DusmSvc, gupdate, gupdatem, bdvpnService, EpsonScanSvc, OneSyncSvc, MapsBroker, CDPSvc","Completado","5,98","False"
"2026-01-01 10:12:08","hiber-Terceros","LenovoVantageService, AdobeARMservice, ClickToRunSvc, BraveElevationService","Completado","5,82","False"
